"","player","team_name","game_date","season","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","minute"
"1230","Klay Thompson","Golden State Warriors","2/2/17",2016,1,1,13,"made shot","Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",24,11,11
"1231","Klay Thompson","Golden State Warriors","3/31/17",2016,3,11,4,"made shot","Layup Shot","2PT Field Goal",1,"Houston Rockets",12,8,25
"1232","Klay Thompson","Golden State Warriors","12/5/16",2016,3,3,1,"missed shot","Layup Shot","2PT Field Goal",1,"Indiana Pacers",9,16,33
"1233","Klay Thompson","Golden State Warriors","11/4/16",2016,2,1,19,"missed shot","Layup Shot","2PT Field Goal",0,"Los Angeles Lakers",-5,1,23
"1234","Klay Thompson","Golden State Warriors","2/4/17",2016,4,8,5,"missed shot","Layup Shot","2PT Field Goal",1,"Sacramento Kings",-17,7,40
"1235","Klay Thompson","Golden State Warriors","1/2/17",2016,3,6,23,"missed shot","Layup Shot","2PT Field Goal",2,"Denver Nuggets",10,21,30
"1236","Klay Thompson","Golden State Warriors","2/28/17",2016,4,10,59,"missed shot","Layup Shot","2PT Field Goal",2,"Washington Wizards",-22,2,38
"1237","Klay Thompson","Golden State Warriors","1/2/17",2016,4,11,44,"made shot","Layup Shot","2PT Field Goal",0,"Denver Nuggets",3,-1,37
"1238","Klay Thompson","Golden State Warriors","2/8/17",2016,4,5,31,"missed shot","Layup Shot","2PT Field Goal",2,"Chicago Bulls",19,16,43
"1239","Klay Thompson","Golden State Warriors","3/31/17",2016,2,1,21,"made shot","Layup Shot","2PT Field Goal",2,"Houston Rockets",-6,26,23
"1240","Klay Thompson","Golden State Warriors","3/5/17",2016,2,6,33,"missed shot","Layup Shot","2PT Field Goal",1,"New York Knicks",-11,11,18
"1241","Klay Thompson","Golden State Warriors","12/17/16",2016,3,11,15,"missed shot","Layup Shot","2PT Field Goal",2,"Portland Trail Blazers",0,28,25
"1242","Klay Thompson","Golden State Warriors","12/13/16",2016,3,10,8,"missed shot","Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",-19,11,26
"1243","Klay Thompson","Golden State Warriors","3/5/17",2016,3,5,18,"made shot","Layup Shot","2PT Field Goal",2,"New York Knicks",24,-10,31
"1244","Klay Thompson","Golden State Warriors","3/31/17",2016,3,4,56,"missed shot","Layup Shot","2PT Field Goal",1,"Houston Rockets",-2,13,32
"1245","Klay Thompson","Golden State Warriors","4/4/17",2016,2,11,43,"missed shot","Layup Shot","2PT Field Goal",1,"Minnesota Timberwolves",9,7,13
"1246","Klay Thompson","Golden State Warriors","12/13/16",2016,1,7,31,"missed shot","Layup Shot","2PT Field Goal",2,"New Orleans Pelicans",-17,11,5
"1247","Klay Thompson","Golden State Warriors","3/5/17",2016,1,11,44,"made shot","Layup Shot","2PT Field Goal",1,"New York Knicks",9,-5,1
"1248","Klay Thompson","Golden State Warriors","2/2/17",2016,1,1,18,"missed shot","Layup Shot","2PT Field Goal",2,"Los Angeles Clippers",27,11,11
"1249","Klay Thompson","Golden State Warriors","3/29/17",2016,3,3,40,"missed shot","Layup Shot","2PT Field Goal",1,"San Antonio Spurs",-17,7,33
"1250","Klay Thompson","Golden State Warriors","11/4/16",2016,3,10,59,"missed shot","Layup Shot","2PT Field Goal",2,"Los Angeles Lakers",-28,6,26
"1251","Klay Thompson","Golden State Warriors","11/10/16",2016,3,3,48,"missed shot","Layup Shot","2PT Field Goal",0,"Denver Nuggets",4,7,33
"1252","Klay Thompson","Golden State Warriors","2/28/17",2016,4,10,20,"made shot","Layup Shot","2PT Field Goal",1,"Washington Wizards",12,-1,38
